case_name,epoch,line
case_A,7,epoch [7/50] batch [40/50] time 0.218 (0.216) data 0.000 (0.005) loss 0.9066 (0.6733) acc 81.2500 (88.6719) data_term 0.9066 (0.6733) raw_kl_rep 0.0000 (0.0000) raw_kl_proj_rep 0.0000 (0.0000) kl_rep_term 0.0000 (0.0000) kl_proj_rep_term 0.0000 (0.0000) kl_term 0.0000 (0.0000) kl_normalizer 50.0000 (50.0000) kl_beta 0.0000 (0.0000) lr 9.7553e-04 eta 0:07:47
case_A,8,epoch [8/50] batch [20/50] time 0.213 (0.220) data 0.000 (0.012) loss 0.6253 (0.6618) acc 90.6250 (88.5938) data_term 0.6246 (0.6611) raw_kl_rep 29.0039 (28.0640) raw_kl_proj_rep 0.0000 (0.0000) kl_rep_term 0.0007 (0.0007) kl_proj_rep_term 0.0000 (0.0000) kl_term 0.0007 (0.0007) kl_normalizer 50.0000 (50.0000) kl_beta 0.0233 (0.0233) lr 9.6489e-04 eta 0:07:49
case_A,8,epoch [8/50] batch [40/50] time 0.213 (0.217) data 0.000 (0.006) loss 0.7201 (0.6437) acc 90.6250 (88.7500) data_term 0.7194 (0.6430) raw_kl_rep 30.9014 (29.0493) raw_kl_proj_rep 0.0000 (0.0000) kl_rep_term 0.0007 (0.0007) kl_proj_rep_term 0.0000 (0.0000) kl_term 0.0007 (0.0007) kl_normalizer 50.0000 (50.0000) kl_beta 0.0233 (0.0233) lr 9.6489e-04 eta 0:07:38
case_A,9,epoch [9/50] batch [20/50] time 0.222 (0.219) data 0.000 (0.011) loss 0.3161 (0.5469) acc 96.8750 (91.8750) data_term 0.3146 (0.5454) raw_kl_rep 33.9175 (32.9157) raw_kl_proj_rep 0.0000 (0.0000) kl_rep_term 0.0016 (0.0015) kl_proj_rep_term 0.0000 (0.0000) kl_term 0.0016 (0.0015) kl_normalizer 50.0000 (50.0000) kl_beta 0.0465 (0.0465) lr 9.5241e-04 eta 0:07:35
case_A,9,epoch [9/50] batch [40/50] time 0.215 (0.217) data 0.000 (0.006) loss 0.3469 (0.5826) acc 96.8750 (91.4062) data_term 0.3452 (0.5810) raw_kl_rep 36.2265 (34.0373) raw_kl_proj_rep 0.0000 (0.0000) kl_rep_term 0.0017 (0.0016) kl_proj_rep_term 0.0000 (0.0000) kl_term 0.0017 (0.0016) kl_normalizer 50.0000 (50.0000) kl_beta 0.0465 (0.0465) lr 9.5241e-04 eta 0:07:26
case_A,10,epoch [10/50] batch [20/50] time 0.214 (0.217) data 0.000 (0.011) loss 0.4452 (0.5718) acc 93.7500 (92.5000) data_term 0.4425 (0.5692) raw_kl_rep 38.7555 (37.9434) raw_kl_proj_rep 0.0000 (0.0000) kl_rep_term 0.0027 (0.0026) kl_proj_rep_term 0.0000 (0.0000) kl_term 0.0027 (0.0026) kl_normalizer 50.0000 (50.0000) kl_beta 0.0698 (0.0698) lr 9.3815e-04 eta 0:07:20
case_A,10,epoch [10/50] batch [40/50] time 0.211 (0.215) data 0.000 (0.006) loss 0.6048 (0.5868) acc 96.8750 (91.9531) data_term 0.6020 (0.5841) raw_kl_rep 40.4406 (38.8594) raw_kl_proj_rep 0.0000 (0.0000) kl_rep_term 0.0028 (0.0027) kl_proj_rep_term 0.0000 (0.0000) kl_term 0.0028 (0.0027) kl_normalizer 50.0000 (50.0000) kl_beta 0.0698 (0.0698) lr 9.3815e-04 eta 0:07:12
case_A,11,epoch [11/50] batch [20/50] time 0.229 (0.210) data 0.000 (0.011) loss 0.5836 (0.5612) acc 93.7500 (93.2812) data_term 0.5795 (0.5573) raw_kl_rep 43.3987 (42.2638) raw_kl_proj_rep 0.0000 (0.0000) kl_rep_term 0.0040 (0.0039) kl_proj_rep_term 0.0000 (0.0000) kl_term 0.0040 (0.0039) kl_normalizer 50.0000 (50.0000) kl_beta 0.0930 (0.0930) lr 9.2216e-04 eta 0:06:56
case_A,11,epoch [11/50] batch [40/50] time 0.213 (0.211) data 0.000 (0.006) loss 0.7075 (0.5629) acc 90.6250 (92.9688) data_term 0.7033 (0.5588) raw_kl_rep 45.4778 (43.3870) raw_kl_proj_rep 0.0000 (0.0000) kl_rep_term 0.0042 (0.0040) kl_proj_rep_term 0.0000 (0.0000) kl_term 0.0042 (0.0040) kl_normalizer 50.0000 (50.0000) kl_beta 0.0930 (0.0930) lr 9.2216e-04 eta 0:06:53
case_A,12,epoch [12/50] batch [20/50] time 0.210 (0.217) data 0.000 (0.011) loss 0.5356 (0.4752) acc 96.8750 (95.4688) data_term 0.5300 (0.4697) raw_kl_rep 48.2245 (47.2724) raw_kl_proj_rep 0.0000 (0.0000) kl_rep_term 0.0056 (0.0055) kl_proj_rep_term 0.0000 (0.0000) kl_term 0.0056 (0.0055) kl_normalizer 50.0000 (50.0000) kl_beta 0.1163 (0.1163) lr 9.0451e-04 eta 0:06:58
case_A,12,epoch [12/50] batch [40/50] time 0.215 (0.217) data 0.000 (0.006) loss 0.3288 (0.4907) acc 100.0000 (94.2188) data_term 0.3230 (0.4851) raw_kl_rep 49.9598 (48.2028) raw_kl_proj_rep 0.0000 (0.0000) kl_rep_term 0.0058 (0.0056) kl_proj_rep_term 0.0000 (0.0000) kl_term 0.0058 (0.0056) kl_normalizer 50.0000 (50.0000) kl_beta 0.1163 (0.1163) lr 9.0451e-04 eta 0:06:53
case_A,13,epoch [13/50] batch [20/50] time 0.217 (0.220) data 0.000 (0.011) loss 0.4336 (0.4561) acc 87.5000 (95.6250) data_term 0.4263 (0.4489) raw_kl_rep 52.4454 (51.5544) raw_kl_proj_rep 0.0000 (0.0000) kl_rep_term 0.0073 (0.0072) kl_proj_rep_term 0.0000 (0.0000) kl_term 0.0073 (0.0072) kl_normalizer 50.0000 (50.0000) kl_beta 0.1395 (0.1395) lr 8.8526e-04 eta 0:06:54
case_A,13,epoch [13/50] batch [40/50] time 0.219 (0.218) data 0.000 (0.006) loss 0.6548 (0.4616) acc 87.5000 (94.5312) data_term 0.6473 (0.4543) raw_kl_rep 53.6763 (52.3345) raw_kl_proj_rep 0.0000 (0.0000) kl_rep_term 0.0075 (0.0073) kl_proj_rep_term 0.0000 (0.0000) kl_term 0.0075 (0.0073) kl_normalizer 50.0000 (50.0000) kl_beta 0.1395 (0.1395) lr 8.8526e-04 eta 0:06:46
case_A,14,epoch [14/50] batch [20/50] time 0.215 (0.221) data 0.000 (0.011) loss 0.4929 (0.4743) acc 93.7500 (94.6875) data_term 0.4838 (0.4653) raw_kl_rep 55.5349 (54.7719) raw_kl_proj_rep 0.0000 (0.0000) kl_rep_term 0.0090 (0.0089) kl_proj_rep_term 0.0000 (0.0000) kl_term 0.0090 (0.0089) kl_normalizer 50.0000 (50.0000) kl_beta 0.1628 (0.1628) lr 8.6448e-04 eta 0:06:44
case_A,14,epoch [14/50] batch [40/50] time 0.216 (0.217) data 0.000 (0.006) loss 0.6983 (0.4683) acc 81.2500 (95.0000) data_term 0.6889 (0.4592) raw_kl_rep 57.4375 (55.6298) raw_kl_proj_rep 0.0000 (0.0000) kl_rep_term 0.0094 (0.0091) kl_proj_rep_term 0.0000 (0.0000) kl_term 0.0094 (0.0091) kl_normalizer 50.0000 (50.0000) kl_beta 0.1628 (0.1628) lr 8.6448e-04 eta 0:06:32
case_A,15,epoch [15/50] batch [20/50] time 0.213 (0.218) data 0.000 (0.012) loss 0.5137 (0.4399) acc 87.5000 (96.0938) data_term 0.5026 (0.4289) raw_kl_rep 59.4942 (58.8197) raw_kl_proj_rep 0.0000 (0.0000) kl_rep_term 0.0111 (0.0109) kl_proj_rep_term 0.0000 (0.0000) kl_term 0.0111 (0.0109) kl_normalizer 50.0000 (50.0000) kl_beta 0.1860 (0.1860) lr 8.4227e-04 eta 0:06:28
case_A,15,epoch [15/50] batch [40/50] time 0.214 (0.217) data 0.000 (0.006) loss 0.3078 (0.4548) acc 96.8750 (95.6250) data_term 0.2965 (0.4438) raw_kl_rep 60.9191 (59.5257) raw_kl_proj_rep 0.0000 (0.0000) kl_rep_term 0.0113 (0.0111) kl_proj_rep_term 0.0000 (0.0000) kl_term 0.0113 (0.0111) kl_normalizer 50.0000 (50.0000) kl_beta 0.1860 (0.1860) lr 8.4227e-04 eta 0:06:21
case_A,16,epoch [16/50] batch [20/50] time 0.214 (0.222) data 0.000 (0.012) loss 0.4078 (0.4118) acc 93.7500 (96.5625) data_term 0.3947 (0.3989) raw_kl_rep 62.4807 (61.8582) raw_kl_proj_rep 0.0000 (0.0000) kl_rep_term 0.0131 (0.0129) kl_proj_rep_term 0.0000 (0.0000) kl_term 0.0131 (0.0129) kl_normalizer 50.0000 (50.0000) kl_beta 0.2093 (0.2093) lr 8.1871e-04 eta 0:06:23
case_A,16,epoch [16/50] batch [40/50] time 0.212 (0.217) data 0.000 (0.006) loss 0.2653 (0.4297) acc 100.0000 (95.9375) data_term 0.2519 (0.4166) raw_kl_rep 63.9781 (62.5590) raw_kl_proj_rep 0.0000 (0.0000) kl_rep_term 0.0134 (0.0131) kl_proj_rep_term 0.0000 (0.0000) kl_term 0.0134 (0.0131) kl_normalizer 50.0000 (50.0000) kl_beta 0.2093 (0.2093) lr 8.1871e-04 eta 0:06:11
case_A,17,epoch [17/50] batch [20/50] time 0.212 (0.217) data 0.000 (0.011) loss 0.3536 (0.4137) acc 96.8750 (96.2500) data_term 0.3383 (0.3986) raw_kl_rep 65.8753 (65.2347) raw_kl_proj_rep 0.0000 (0.0000) kl_rep_term 0.0153 (0.0152) kl_proj_rep_term 0.0000 (0.0000) kl_term 0.0153 (0.0152) kl_normalizer 50.0000 (50.0000) kl_beta 0.2326 (0.2326) lr 7.9389e-04 eta 0:06:04
