pair_name,class_id,n,MMRL_acc,Bayes_acc,delta_acc,Bayes_conf,Bayes_MI,harmful_flip,beneficial_flip
case_B__VS__case_A,58,13,0.7692307829856873,0.692307710647583,-0.07692307233810425,0.8163018822669983,0.04419659078121185,1,0
case_B__VS__case_A,59,20,0.6499999761581421,0.6499999761581421,0.0,0.8377996683120728,0.03305331990122795,0,0
case_B__VS__case_A,60,12,0.9166666865348816,0.9166666865348816,0.0,0.8248360753059387,0.07933012396097183,1,1
case_B__VS__case_A,61,12,0.9166666865348816,0.9166666865348816,0.0,0.9183347821235657,0.026754727587103844,0,0
case_B__VS__case_A,62,26,1.0,1.0,0.0,0.9999439716339111,2.25432995648589e-05,0,0
case_B__VS__case_A,63,10,1.0,1.0,0.0,0.9999169111251831,3.546356310835108e-05,0,0
case_B__VS__case_A,64,23,0.95652174949646,0.95652174949646,0.0,0.9624778032302856,0.020354442298412323,0,0
case_B__VS__case_A,65,16,1.0,1.0,0.0,0.9934124946594238,0.00322485133074224,0,0
case_B__VS__case_A,66,10,1.0,1.0,0.0,0.9876386523246765,0.004127727821469307,0,0
case_B__VS__case_A,67,11,1.0,1.0,0.0,0.9999487400054932,3.748069502762519e-05,0,0
case_B__VS__case_A,68,14,1.0,1.0,0.0,0.9988347887992859,0.00025346199981868267,0,0
case_B__VS__case_A,69,11,1.0,1.0,0.0,0.999809205532074,3.256056515965611e-05,0,0
case_B__VS__case_A,70,14,1.0,1.0,0.0,0.9968456029891968,0.0009422377333976328,0,0
case_B__VS__case_A,71,16,1.0,1.0,0.0,0.9994210004806519,0.00018545283819548786,0,0
case_B__VS__case_A,72,10,1.0,0.8999999761581421,-0.10000002384185791,0.826339840888977,0.038899000734090805,1,0
case_B__VS__case_A,73,18,1.0,1.0,0.0,0.9962722063064575,0.0010757576674222946,0,0
case_B__VS__case_A,74,25,1.0,1.0,0.0,0.9990098476409912,0.0003044754557777196,0,0
case_B__VS__case_A,75,17,0.9411764740943909,0.9411764740943909,0.0,0.9654498100280762,0.011952795088291168,0,0
case_B__VS__case_A,76,15,1.0,1.0,0.0,0.9998253583908081,7.212229684228078e-05,0,0
