pair_name,bayes_mode,case_type,count,fraction,MMRL_conf,Bayes_conf,MMRL_entropy,Bayes_entropy,MMRL_margin,Bayes_margin,JS,sym_KL,L1
case_B__VS__case_A,posterior_mean,both_correct,2358,0.956592321395874,0.9866635799407959,0.9806540012359619,0.04858629032969475,0.06727955490350723,0.976356565952301,0.9650589227676392,0.0035408753901720047,0.018630124628543854,0.02994360961019993
case_B__VS__case_A,posterior_mean,MMRL_correct_Bayes_wrong,33,0.013387423940002918,0.7009301781654358,0.6161620616912842,0.7455658912658691,0.827302098274231,0.46477755904197693,0.3080325126647949,0.1409354954957962,0.7048102617263794,0.8761372566223145
case_B__VS__case_A,posterior_mean,MMRL_wrong_Bayes_correct,12,0.00486815394833684,0.6810169816017151,0.670393168926239,0.7670073509216309,0.6836455464363098,0.42881086468696594,0.3746616840362549,0.12103080749511719,0.6163720488548279,0.8561593890190125
case_B__VS__case_A,posterior_mean,both_wrong,62,0.02515213005244732,0.8056762218475342,0.7280264496803284,0.5171474814414978,0.6607540249824524,0.6479672789573669,0.5044301152229309,0.03844897449016571,0.1799350380897522,0.33962440490722656
case_B__VS__case_A,mc_prob_mean_probs,both_correct,2372,0.9622718095779419,0.985099196434021,0.9751530289649963,0.052862949669361115,0.08299610763788223,0.9736520648002625,0.954943835735321,0.003695947816595435,0.018507687374949455,0.03324693813920021
case_B__VS__case_A,mc_prob_mean_probs,MMRL_correct_Bayes_wrong,19,0.0077079106122255325,0.6856805086135864,0.5247294306755066,0.7252229452133179,0.9240647554397583,0.42547154426574707,0.13752497732639313,0.07955718040466309,0.36311638355255127,0.6550264954566956
case_B__VS__case_A,mc_prob_mean_probs,MMRL_wrong_Bayes_correct,15,0.006085192784667015,0.7111762762069702,0.6115502119064331,0.6638181805610657,0.7503159046173096,0.45262157917022705,0.254312127828598,0.0847410187125206,0.3611438572406769,0.7506186366081238
case_B__VS__case_A,mc_prob_mean_probs,both_wrong,59,0.023935090750455856,0.8043473362922668,0.7025153040885925,0.5306772589683533,0.7411871552467346,0.6530572772026062,0.47155728936195374,0.039864953607320786,0.18129350244998932,0.3578578531742096
case_B__VS__case_A,mc_logit_mean,both_correct,2370,0.9614604711532593,0.985538125038147,0.9792558550834656,0.052094995975494385,0.06923966854810715,0.9744091033935547,0.9618856310844421,0.003245412139222026,0.016031449660658836,0.029419070109725
case_B__VS__case_A,mc_logit_mean,MMRL_correct_Bayes_wrong,21,0.008519269526004791,0.6646639704704285,0.537250280380249,0.7478572130203247,0.8944470286369324,0.39223915338516235,0.15472757816314697,0.07621296495199203,0.3475665748119354,0.6256396174430847
case_B__VS__case_A,mc_logit_mean,MMRL_wrong_Bayes_correct,15,0.006085192784667015,0.7111762762069702,0.6362181305885315,0.6638181805610657,0.6988306045532227,0.45262157917022705,0.292368084192276,0.09556926041841507,0.42076778411865234,0.7878751158714294
case_B__VS__case_A,mc_logit_mean,both_wrong,59,0.023935090750455856,0.8043473362922668,0.7301398515701294,0.5306772589683533,0.6820278763771057,0.6530572772026062,0.5157585740089417,0.03834747523069382,0.17288926243782043,0.34106993675231934
