case_name,epoch,line
case_A,7,epoch [7/50] batch [40/50] time 0.209 (0.212) data 0.000 (0.006) loss 0.1452 (0.2532) acc 100.0000 (95.4688) data_term 0.1452 (0.2532) raw_kl_rep 0.0000 (0.0000) raw_kl_proj_rep 0.0000 (0.0000) kl_rep_term 0.0000 (0.0000) kl_proj_rep_term 0.0000 (0.0000) kl_term 0.0000 (0.0000) kl_normalizer 50.0000 (50.0000) kl_beta 0.0000 (0.0000) lr 9.7553e-04 eta 0:07:37
case_A,8,epoch [8/50] batch [20/50] time 0.214 (0.220) data 0.000 (0.011) loss 0.1339 (0.2530) acc 100.0000 (94.6875) data_term 0.1337 (0.2528) raw_kl_rep 9.1755 (8.8733) raw_kl_proj_rep 0.0000 (0.0000) kl_rep_term 0.0002 (0.0002) kl_proj_rep_term 0.0000 (0.0000) kl_term 0.0002 (0.0002) kl_normalizer 50.0000 (50.0000) kl_beta 0.0233 (0.0233) lr 9.6489e-04 eta 0:07:47
case_A,8,epoch [8/50] batch [40/50] time 0.218 (0.211) data 0.000 (0.005) loss 0.2221 (0.2274) acc 96.8750 (95.3125) data_term 0.2219 (0.2271) raw_kl_rep 9.7313 (9.1715) raw_kl_proj_rep 0.0000 (0.0000) kl_rep_term 0.0002 (0.0002) kl_proj_rep_term 0.0000 (0.0000) kl_term 0.0002 (0.0002) kl_normalizer 50.0000 (50.0000) kl_beta 0.0233 (0.0233) lr 9.6489e-04 eta 0:07:24
case_A,9,epoch [9/50] batch [20/50] time 0.219 (0.222) data 0.000 (0.012) loss 0.1551 (0.2074) acc 100.0000 (96.8750) data_term 0.1546 (0.2069) raw_kl_rep 10.6212 (10.3562) raw_kl_proj_rep 0.0000 (0.0000) kl_rep_term 0.0005 (0.0005) kl_proj_rep_term 0.0000 (0.0000) kl_term 0.0005 (0.0005) kl_normalizer 50.0000 (50.0000) kl_beta 0.0465 (0.0465) lr 9.5241e-04 eta 0:07:41
case_A,9,epoch [9/50] batch [40/50] time 0.229 (0.214) data 0.000 (0.006) loss 0.1338 (0.2161) acc 100.0000 (95.8594) data_term 0.1332 (0.2157) raw_kl_rep 11.1599 (10.6279) raw_kl_proj_rep 0.0000 (0.0000) kl_rep_term 0.0005 (0.0005) kl_proj_rep_term 0.0000 (0.0000) kl_term 0.0005 (0.0005) kl_normalizer 50.0000 (50.0000) kl_beta 0.0465 (0.0465) lr 9.5241e-04 eta 0:07:21
case_A,10,epoch [10/50] batch [20/50] time 0.216 (0.217) data 0.000 (0.011) loss 0.1020 (0.2299) acc 100.0000 (95.4688) data_term 0.1011 (0.2291) raw_kl_rep 11.9199 (11.6684) raw_kl_proj_rep 0.0000 (0.0000) kl_rep_term 0.0008 (0.0008) kl_proj_rep_term 0.0000 (0.0000) kl_term 0.0008 (0.0008) kl_normalizer 50.0000 (50.0000) kl_beta 0.0698 (0.0698) lr 9.3815e-04 eta 0:07:21
case_A,10,epoch [10/50] batch [40/50] time 0.219 (0.211) data 0.000 (0.005) loss 0.0939 (0.2313) acc 100.0000 (95.8594) data_term 0.0930 (0.2305) raw_kl_rep 12.5963 (11.9717) raw_kl_proj_rep 0.0000 (0.0000) kl_rep_term 0.0009 (0.0008) kl_proj_rep_term 0.0000 (0.0000) kl_term 0.0009 (0.0008) kl_normalizer 50.0000 (50.0000) kl_beta 0.0698 (0.0698) lr 9.3815e-04 eta 0:07:04
case_A,11,epoch [11/50] batch [20/50] time 0.213 (0.216) data 0.000 (0.012) loss 0.2117 (0.2119) acc 93.7500 (96.2500) data_term 0.2105 (0.2107) raw_kl_rep 13.3202 (13.0738) raw_kl_proj_rep 0.0000 (0.0000) kl_rep_term 0.0012 (0.0012) kl_proj_rep_term 0.0000 (0.0000) kl_term 0.0012 (0.0012) kl_normalizer 50.0000 (50.0000) kl_beta 0.0930 (0.0930) lr 9.2216e-04 eta 0:07:08
case_A,11,epoch [11/50] batch [40/50] time 0.190 (0.216) data 0.000 (0.006) loss 0.3001 (0.1893) acc 93.7500 (96.9531) data_term 0.2988 (0.1881) raw_kl_rep 13.8662 (13.3472) raw_kl_proj_rep 0.0000 (0.0000) kl_rep_term 0.0013 (0.0012) kl_proj_rep_term 0.0000 (0.0000) kl_term 0.0013 (0.0012) kl_normalizer 50.0000 (50.0000) kl_beta 0.0930 (0.0930) lr 9.2216e-04 eta 0:07:02
case_A,12,epoch [12/50] batch [20/50] time 0.206 (0.213) data 0.000 (0.012) loss 0.1542 (0.2059) acc 100.0000 (96.0938) data_term 0.1525 (0.2042) raw_kl_rep 14.6814 (14.3981) raw_kl_proj_rep 0.0000 (0.0000) kl_rep_term 0.0017 (0.0017) kl_proj_rep_term 0.0000 (0.0000) kl_term 0.0017 (0.0017) kl_normalizer 50.0000 (50.0000) kl_beta 0.1163 (0.1163) lr 9.0451e-04 eta 0:06:51
case_A,12,epoch [12/50] batch [40/50] time 0.216 (0.213) data 0.000 (0.006) loss 0.4184 (0.1982) acc 90.6250 (96.2500) data_term 0.4166 (0.1965) raw_kl_rep 15.1206 (14.6644) raw_kl_proj_rep 0.0000 (0.0000) kl_rep_term 0.0018 (0.0017) kl_proj_rep_term 0.0000 (0.0000) kl_term 0.0018 (0.0017) kl_normalizer 50.0000 (50.0000) kl_beta 0.1163 (0.1163) lr 9.0451e-04 eta 0:06:46
case_A,13,epoch [13/50] batch [20/50] time 0.159 (0.222) data 0.000 (0.012) loss 0.1351 (0.1950) acc 100.0000 (97.5000) data_term 0.1330 (0.1929) raw_kl_rep 15.6182 (15.4374) raw_kl_proj_rep 0.0000 (0.0000) kl_rep_term 0.0022 (0.0022) kl_proj_rep_term 0.0000 (0.0000) kl_term 0.0022 (0.0022) kl_normalizer 50.0000 (50.0000) kl_beta 0.1395 (0.1395) lr 8.8526e-04 eta 0:06:57
case_A,13,epoch [13/50] batch [40/50] time 0.216 (0.219) data 0.000 (0.006) loss 0.2010 (0.1925) acc 93.7500 (96.8750) data_term 0.1988 (0.1904) raw_kl_rep 16.0154 (15.6291) raw_kl_proj_rep 0.0000 (0.0000) kl_rep_term 0.0022 (0.0022) kl_proj_rep_term 0.0000 (0.0000) kl_term 0.0022 (0.0022) kl_normalizer 50.0000 (50.0000) kl_beta 0.1395 (0.1395) lr 8.8526e-04 eta 0:06:46
