case_name,branch,score,AUROC_error,AUPR_error,error_rate
case_A,main,negative_confidence,0.9651296441622474,0.5114569009668811,0.043407707910750506
case_A,main,predictive_entropy,0.954709757199591,0.4076584451010625,0.043407707910750506
case_A,main,expected_entropy,0.9550862841153203,0.4079153533100511,0.043407707910750506
case_A,main,MI,0.9354276156730319,0.30351712986779633,0.043407707910750506
case_A,main,variation_ratio,0.8140373197625106,0.3463417486822275,0.043407707910750506
case_A,main,num_unique_preds,0.8112847098364684,0.34695358866306214,0.043407707910750506
case_A,main,vote_entropy,0.8143900660309307,0.3691045030923749,0.043407707910750506
case_A,main,logit_var,0.591242380284258,0.0615823921370328,0.043407707910750506
case_A,rep,negative_confidence,0.967437109510984,0.5502945348831974,0.037322515212981744
case_A,rep,predictive_entropy,0.9608457465325492,0.43288461210696605,0.037322515212981744
case_A,rep,expected_entropy,0.9607678777551806,0.4164556993253777,0.037322515212981744
case_A,rep,MI,0.9556468605141172,0.4185359325939858,0.037322515212981744
case_A,rep,variation_ratio,0.9286332655416919,0.5381922302988458,0.037322515212981744
case_A,rep,num_unique_preds,0.9168819509335092,0.39811881804976157,0.037322515212981744
case_A,rep,vote_entropy,0.9276713571153741,0.4935970540614753,0.037322515212981744
case_A,rep,logit_var,0.4227266897524689,0.03408743011961433,0.037322515212981744
case_A,fusion,negative_confidence,0.969331743525292,0.46262951208189446,0.031643002028397565
case_A,fusion,predictive_entropy,0.9643635933958514,0.39018981194049884,0.031643002028397565
case_A,fusion,expected_entropy,0.9645408355085775,0.39070618929852363,0.031643002028397565
case_A,fusion,MI,0.959626395110266,0.3834923168121987,0.031643002028397565
case_A,fusion,variation_ratio,0.8545513626158787,0.37695254944617196,0.031643002028397565
case_A,fusion,num_unique_preds,0.8537457166489425,0.3639436388085467,0.031643002028397565
case_A,fusion,vote_entropy,0.854801112865629,0.391022261891688,0.031643002028397565
case_A,fusion,logit_var,0.4638802058156897,0.04170912745930811,0.031643002028397565
