pair_name,case_type,reference_case_type,n,n_reference,image_cosine_mean,image_cosine_reference_mean,image_cosine_delta_vs_reference,image_cosine_ratio_vs_reference,image_cosine_cohen_d_vs_reference,image_angle_deg_mean,image_angle_deg_reference_mean,image_angle_deg_delta_vs_reference,image_angle_deg_ratio_vs_reference,image_angle_deg_cohen_d_vs_reference,image_shift_norm_mean,image_shift_norm_reference_mean,image_shift_norm_delta_vs_reference,image_shift_norm_ratio_vs_reference,image_shift_norm_cohen_d_vs_reference
case_B__VS__case_A,MMRL_correct_Bayes_wrong,both_correct,126,3179,0.945008066911546,0.9511845178595126,-0.006176450947966594,0.9935065690914885,-0.3879996453545219,18.893072563996128,17.757245530184207,1.1358270338119212,1.063964145333307,0.39892123606323954,0.32815624584281256,0.30858544490179124,0.019570800941021316,1.0634210111473332,0.3992057987314673
case_B__VS__case_A,MMRL_wrong_Bayes_correct,both_correct,100,3179,0.9456513726711273,0.9511845178595126,-0.005533145188385324,0.9941828897711279,-0.349323284056625,18.8389493164752,17.757245530184207,1.0817037862909942,1.0609161924608346,0.38154147029202273,0.3272545510530472,0.30858544490179124,0.018669106151255943,1.060498984834484,0.3824384142716799
case_B__VS__case_A,both_wrong,both_correct,378,3179,0.9468666732941986,0.9511845178595126,-0.004317844565314033,0.9954605605071972,-0.27151176124074244,18.56380850492172,17.757245530184207,0.8065629747375134,1.0454216265336027,0.283899778544485,0.3224886362909009,0.30858544490179124,0.01390319138910967,1.0450545922330667,0.28422873843016144
