pair_name,difficulty_group,n,MMRL_acc,Bayes_acc,Bayes_conf,Bayes_MI,sample_agreement,harmful_flip_rate,beneficial_flip_rate
case_B__VS__case_A,easy_mmrl_correct_high_conf,617,1.0,1.0,0.9998587369918823,7.026684761513025e-05,1.0,0.0,0.0
case_B__VS__case_A,hard_mmrl_wrong_or_low_margin,617,0.880064845085144,0.8735818266868591,0.8609838485717773,0.03348138555884361,0.9472447633743286,0.030794166028499603,0.024311183020472527
case_B__VS__case_A,ambiguous_high_MI,617,0.880064845085144,0.8735818266868591,0.8563856482505798,0.0349121131002903,0.9472447633743286,0.030794166028499603,0.024311183020472527
case_B__VS__case_A,all,2465,0.9699797034263611,0.9683570265769958,0.9629431366920471,0.009055343456566334,0.9867951273918152,0.0077079106122255325,0.006085192784667015
