case_name,method,eval_mode,n,all_correct,all_wrong,fusion_correct_others_wrong,fusion_wrong_logits_correct,fusion_wrong_rep_correct,fusion_damage_any,fusion_rescue_any
case_A,BayesMMRL,standard,2465,2329,57,1,10,12,22,57
case_A,BayesMMRL,posterior_mean,2465,2289,63,2,14,18,32,81
case_A,BayesMMRL,mc_prob_mean_probs,2465,2321,55,0,10,13,23,66
case_A,BayesMMRL,mc_logit_mean,2465,2321,55,0,10,15,25,64
case_A,BayesMMRL,mc_majority_vote_pred,2465,2321,53,0,8,18,26,65
case_B,MMRL,standard,2465,2335,54,1,10,10,20,56
