pair_name,branch,branch_cn,score,score_cn,AUPR_error_BayesMMRL,AUPR_error_MMRL,AUROC_error_BayesMMRL,AUROC_error_MMRL,accuracy_BayesMMRL,accuracy_MMRL,correct_score_mean_BayesMMRL,correct_score_mean_MMRL,error_rate_BayesMMRL,error_rate_MMRL,wrong_over_correct_score_mean_BayesMMRL,wrong_over_correct_score_mean_MMRL,wrong_score_mean_BayesMMRL,wrong_score_mean_MMRL,delta_AUROC_error_Bayes_minus_MMRL,delta_AUPR_error_Bayes_minus_MMRL,delta_accuracy_Bayes_minus_MMRL,delta_error_rate_Bayes_minus_MMRL,delta_correct_score_mean_Bayes_minus_MMRL,delta_wrong_score_mean_Bayes_minus_MMRL,delta_wrong_over_correct_score_mean_Bayes_minus_MMRL,same_score_conclusion_hint
case_B__VS__case_A,fusion,融合分支,one_minus_confidence,低置信度,0.5490012487236673,0.6047757347116306,0.9021067204964734,0.9121566790522792,0.8667724132537842,0.8736452460289001,0.08248776942491531,0.07049454003572464,0.13322760164737701,0.12635473906993866,4.7300664482585235,5.521984244342167,0.3901726305484772,0.38926973938941956,-0.010049958555805705,-0.05577448598796331,-0.006872832775115967,0.0068728625774383545,0.011993229389190674,0.0009028911590576172,-0.7919177960836432,MMRL 同分数更好
case_B__VS__case_A,fusion,融合分支,one_minus_probability_margin,低决策间隔,0.5355854512867675,0.5388706344022741,0.8977965843244892,0.9060520702118636,0.8667724132537842,0.8736452460289001,0.13698796927928925,0.11780902743339539,0.13322760164737701,0.12635473906993866,4.416500319206554,5.009164397301807,0.6050074100494385,0.590124785900116,-0.008255485887374459,-0.003285183115506629,-0.006872832775115967,0.0068728625774383545,0.01917894184589386,0.01488262414932251,-0.592664078095253,两者接近
case_B__VS__case_A,fusion,融合分支,predictive_entropy,预测熵,0.5382591533652292,0.6052318769830991,0.9006018336988145,0.9127985365143468,0.8667724132537842,0.8736452460289001,0.2635757625102997,0.23482047021389008,0.13322760164737701,0.12635473906993866,4.177389874758809,4.878789557531839,1.1010587215423584,1.1456396579742432,-0.012196702815532312,-0.06697272361786988,-0.006872832775115967,0.0068728625774383545,0.028755292296409607,-0.044580936431884766,-0.7013996827730296,MMRL 同分数更好
case_B__VS__case_A,main,主分支,one_minus_confidence,低置信度,0.5718177067484023,0.6066617323006086,0.89187236639416,0.9064568454326152,0.84298175573349,0.8638646602630615,0.1162501722574234,0.11079229414463043,0.15701824426651,0.13613533973693848,3.789492344788133,4.1381312671104595,0.44052913784980774,0.4584730565547943,-0.014584479038455167,-0.03484402555220634,-0.020882904529571533,0.020882904529571533,0.005457878112792969,-0.017943918704986572,-0.34863892232232674,MMRL 同分数更好
case_B__VS__case_A,main,主分支,one_minus_probability_margin,低决策间隔,0.5278946842682541,0.5722576564263934,0.8860318455802934,0.9029773858896507,0.84298175573349,0.8638646602630615,0.18821929395198822,0.17295069992542267,0.15701824426651,0.13613533973693848,3.541466543553363,3.8645000118467845,0.6665723323822021,0.6683679819107056,-0.016945540309357354,-0.044362972158139224,-0.020882904529571533,0.020882904529571533,0.015268594026565552,-0.001795649528503418,-0.3230334682934215,MMRL 同分数更好
case_B__VS__case_A,main,主分支,predictive_entropy,预测熵,0.5587638286254508,0.5641521503841045,0.8863855445856073,0.8969221993796865,0.84298175573349,0.8638646602630615,0.37983566522598267,0.4020490348339081,0.15701824426651,0.13613533973693848,3.3510316457136313,3.5290908946700155,1.2728413343429565,1.418867588043213,-0.010536654794079281,-0.005388321758653669,-0.020882904529571533,0.020882904529571533,-0.022213369607925415,-0.14602625370025635,-0.17805924895638414,MMRL 同分数更好
case_B__VS__case_A,rep,表示增强分支,one_minus_confidence,低置信度,0.552991700915933,0.5931453516156895,0.8800370834611924,0.8847121689476186,0.8400740027427673,0.8236849308013916,0.08023339509963989,0.04465645179152489,0.15992598235607147,0.1763150990009308,4.543688660441737,5.861319930343382,0.36455556750297546,0.26174575090408325,-0.004675085486426256,-0.040153650699756516,0.016389071941375732,-0.016389116644859314,0.035576943308115005,0.10280981659889221,-1.3176312699016446,两者接近
case_B__VS__case_A,rep,表示增强分支,one_minus_probability_margin,低决策间隔,0.5202538584546466,0.5626164519663952,0.8748586615627064,0.8805271626061167,0.8400740027427673,0.8236849308013916,0.1350354701280594,0.07891954481601715,0.15992598235607147,0.1763150990009308,4.207518872329158,5.419043952448179,0.5681642889976501,0.4276684820652008,-0.005668501043410323,-0.04236259351174865,0.016389071941375732,-0.016389116644859314,0.056115925312042236,0.14049580693244934,-1.2115250801190216,两者接近
case_B__VS__case_A,rep,表示增强分支,predictive_entropy,预测熵,0.5667200943004466,0.6124051962864984,0.8824147418460594,0.8896814429755597,0.8400740027427673,0.8236849308013916,0.23926714062690735,0.13273683190345764,0.15992598235607147,0.1763150990009308,4.144245611836771,5.417529635203593,0.9915817975997925,0.7191057205200195,-0.007266701129500341,-0.0456851019860518,0.016389071941375732,-0.016389116644859314,0.10653030872344971,0.27247607707977295,-1.2732840233668217,两者接近
