pair_name,branch,branch_cn,n_samples,n_test,mc_logit_std_mean_mean,mc_logit_std_mean_std,mc_logit_std_mean_q10,mc_logit_std_mean_median,mc_logit_std_mean_q90,mc_logit_std_mean_max,mc_logit_l2_to_mean_mean,mc_logit_l2_to_mean_std,mc_logit_l2_to_mean_q10,mc_logit_l2_to_mean_median,mc_logit_l2_to_mean_q90,mc_logit_l2_to_mean_max,mc_prob_l1_to_mean_mean,mc_prob_l1_to_mean_std,mc_prob_l1_to_mean_q10,mc_prob_l1_to_mean_median,mc_prob_l1_to_mean_q90,mc_prob_l1_to_mean_max,sample_agreement_mean,sample_agreement_std,sample_agreement_q10,sample_agreement_median,sample_agreement_q90,sample_agreement_max,num_unique_preds_mean,num_unique_preds_std,num_unique_preds_q10,num_unique_preds_median,num_unique_preds_q90,num_unique_preds_max,mutual_information_mean,mutual_information_std,mutual_information_q10,mutual_information_median,mutual_information_q90,mutual_information_max,variation_ratio_mean,variation_ratio_std,variation_ratio_q10,variation_ratio_median,variation_ratio_q90,variation_ratio_max
case_B__VS__case_A,main,主分支,20,3783,0.727721462497439,0.08343278347992127,0.6284277439117432,0.7209477424621582,0.8356405019760133,1.1234904527664185,7.074237953063013,0.7624451246029365,6.1749547004699705,7.0134124755859375,8.081074333190918,10.8431396484375,0.10586131632030917,0.12283433283275727,0.001290350127965212,0.04912865161895752,0.2978174924850464,0.5958186984062195,0.9475151995770553,0.12531392552394383,0.75,1.0,1.0,1.0,1.3008194554586308,0.6753989548891962,1.0,1.0,2.0,7.0,0.02757270660090835,0.038364879143732634,0.0002709120512008667,0.009913623332977295,0.0819912910461426,0.2607879638671875,0.052484800930285375,0.12531392524984789,0.0,0.0,0.25,0.699999988079071
case_B__VS__case_A,rep,表示增强分支,20,3783,1.9784500273390166,0.26699532647011526,1.6368590116500854,1.9673516750335693,2.3183162689208983,3.114084482192993,19.589879841392328,2.5247264489123493,16.279429626464843,19.52159309387207,22.75458106994629,30.002344131469727,0.19406843157348244,0.2691059329234308,5.058108945377173e-05,0.03235146403312683,0.648222088813782,1.1047979593276978,0.9122389637853555,0.1641979488989164,0.6,1.0,1.0,1.0,1.6082474226804124,1.0978342027224754,1.0,1.0,3.0,10.0,0.11093090133944705,0.1693701386988504,2.1567428484559068e-05,0.01585804671049118,0.3830748379230501,0.9401600360870361,0.08776103706546413,0.16419794823498196,0.0,0.0,0.3999999761581421,0.800000011920929
case_B__VS__case_A,fusion,融合分支,20,3783,0.8524667050452135,0.09742165811295413,0.7265828609466553,0.8483208417892456,0.9796825885772705,1.292177438735962,8.401421099215817,0.9247334565783343,7.1975400924682615,8.36742877960205,9.609124183654785,12.322469711303711,0.09907569545848784,0.13950995454543325,0.0002636175486259163,0.021398872137069702,0.3398227751255036,0.6459020972251892,0.9548902987047316,0.11634754452314078,0.8,1.0,1.0,1.0,1.2765001321702352,0.6689323504603801,1.0,1.0,2.0,7.0,0.030877375601604785,0.05041505253061341,6.05076551437378e-05,0.005270123481750488,0.10657870769500737,0.3236755132675171,0.045109701682863934,0.11634754416702417,0.0,0.0,0.19999998807907104,0.75
