case_name,method,eval_mode,branch,n,acc,macro_f1,ECE,NLL,Brier,conf_mean,entropy_mean,margin_mean
case_A,BayesMMRL,standard,main,2465,0.9586206674575806,0.9377193117923018,0.012460142374038696,0.11376404762268066,0.05750950425863266,0.9503282308578491,0.16048868000507355,0.9127020239830017
case_A,BayesMMRL,standard,rep,2465,0.9626774787902832,0.9434119130066846,0.01615632325410843,0.11255718767642975,0.0533900149166584,0.978263258934021,0.05937076732516289,0.9595375061035156
case_A,BayesMMRL,standard,fusion,2465,0.9679512977600098,0.9509850989377858,0.009400819428265095,0.08720613270998001,0.04584302753210068,0.9690616726875305,0.09145384281873703,0.9431818723678589
case_A,BayesMMRL,posterior_mean,main,2465,0.9496957659721375,0.9261243140146194,0.018741095438599586,0.13232286274433136,0.06739530712366104,0.9438621997833252,0.18985465168952942,0.9031673073768616
case_A,BayesMMRL,posterior_mean,rep,2465,0.9525355100631714,0.9316588037901071,0.0258651003241539,0.1586146354675293,0.06968794018030167,0.9776697754859924,0.06053899601101875,0.9584341645240784
case_A,BayesMMRL,posterior_mean,fusion,2465,0.9614604711532593,0.9424736378359968,0.009080182760953903,0.09870068728923798,0.05194439738988876,0.9679098129272461,0.09538201242685318,0.9418030977249146
case_A,BayesMMRL,mc_prob_mean_probs,main,2465,0.956592321395874,0.9358121918151009,0.017566684633493423,0.1171146035194397,0.05927688628435135,0.9443922638893127,0.1805160790681839,0.9029343128204346
case_A,BayesMMRL,mc_prob_mean_probs,rep,2465,0.9626774787902832,0.9446487663329488,0.0064560179598629475,0.10576580464839935,0.05084443464875221,0.9624393582344055,0.10805518180131912,0.9332626461982727
case_A,BayesMMRL,mc_prob_mean_probs,fusion,2465,0.9683570265769958,0.9526744588057953,0.008437598124146461,0.08847559988498688,0.045768581330776215,0.9629431366920471,0.1092936247587204,0.9328098297119141
case_A,BayesMMRL,mc_logit_mean,main,2465,0.9561865925788879,0.9351029111058203,0.017017491161823273,0.11535528302192688,0.058902762830257416,0.9487853646278381,0.1641872078180313,0.9097903966903687
case_A,BayesMMRL,mc_logit_mean,rep,2465,0.9630831480026245,0.9450869573451951,0.015967370942234993,0.1107487753033638,0.05211687460541725,0.9766681790351868,0.06359316408634186,0.9569592475891113
case_A,BayesMMRL,mc_logit_mean,fusion,2465,0.9675456285476685,0.9510939744076795,0.008208968676626682,0.0878591388463974,0.04580184444785118,0.9674402475357056,0.09476816654205322,0.9402569532394409
case_A,BayesMMRL,mc_majority_vote_pred,main,2465,0.954969584941864,0.9333842570910904,,,,,,
case_A,BayesMMRL,mc_majority_vote_pred,rep,2465,0.9651115536689758,0.9471611131050761,,,,,,
case_A,BayesMMRL,mc_majority_vote_pred,fusion,2465,0.9679512977600098,0.9521233931087025,,,,,,
case_B,MMRL,standard,main,2465,0.9655172228813171,0.9475793399731366,0.007987724617123604,0.10659095644950867,0.05225330963730812,0.9667739868164062,0.1150430366396904,0.9422693848609924
case_B,MMRL,standard,rep,2465,0.959432065486908,0.9406286364832112,0.022962283343076706,0.18118984997272491,0.06768982112407684,0.9793511629104614,0.06240445375442505,0.9634097814559937
case_B,MMRL,standard,fusion,2465,0.9699797034263611,0.954913897162679,0.014354371465742588,0.10347294062376022,0.04968906193971634,0.9767982363700867,0.07319974899291992,0.9585826396942139
