case_name,method_from_cfg,is_bayes,bayes_target,block_class,KL,posterior_mean_shape,posterior_mean_l2,posterior_mean_abs_mean,prior_mean_shape,prior_mean_l2,prior_mean_abs_mean,mean_shift_l2,mean_shift_abs_mean,mean_shift_abs_max,posterior_sigma_shape,sigma_mean,sigma_std,sigma_min,sigma_max,sigma_cv,SNR_mean,SNR_max,error
case_A,BayesMMRL,True,rep_tokens,BayesianTensorParameter,64.07710266113281,"(5, 512)",5.509154796600342,0.09320388734340668,"(5, 512)",0.0,0.0,5.509154796600342,0.09320388734340668,0.2417321801185608,"(5, 512)",0.48246774077415466,0.004231708124279976,0.46902957558631897,0.4970273971557617,0.008770965971052647,0.193299800157547,0.5001097321510315,
case_B,MMRL,False,,,,,,,,,,,,,,,,,,,,,No Bayesian posterior block found
