pair_name,true_class,pred_class,MMRL_count,Bayes_count,delta,Bayes_conf,Bayes_MI
case_B__VS__case_A,23,23,32,30,-2,0.7661809921264648,0.032256804406642914
case_B__VS__case_A,23,28,0,1,1,0.17511339485645294,0.17308449745178223
case_B__VS__case_A,23,32,1,0,-1,,
case_B__VS__case_A,23,35,1,1,0,0.34373605251312256,0.11991679668426514
case_B__VS__case_A,24,24,31,32,1,0.9000728130340576,0.020202387124300003
case_B__VS__case_A,24,49,1,0,-1,,
case_B__VS__case_A,24,57,1,1,0,0.4482833445072174,0.19714999198913574
case_B__VS__case_A,25,18,2,3,1,0.6200413107872009,0.05109645798802376
case_B__VS__case_A,25,25,43,42,-1,0.9120863676071167,0.025516727939248085
case_B__VS__case_A,26,17,1,0,-1,,
case_B__VS__case_A,26,26,44,42,-2,0.9693441987037659,0.0148709611967206
case_B__VS__case_A,26,59,0,3,3,0.5638341903686523,0.19520382583141327
case_B__VS__case_A,27,27,34,34,0,0.9841099977493286,0.006443525664508343
case_B__VS__case_A,28,28,36,38,2,0.9158428311347961,0.028044676408171654
case_B__VS__case_A,28,30,0,1,1,0.4935942590236664,0.2002435326576233
case_B__VS__case_A,28,84,4,0,-4,,
case_B__VS__case_A,28,92,0,1,1,0.33856552839279175,0.1994922161102295
case_B__VS__case_A,29,4,0,3,3,0.5575745701789856,0.10565829277038574
case_B__VS__case_A,29,18,0,1,1,0.38306480646133423,0.12835490703582764
case_B__VS__case_A,29,25,1,1,0,0.5234161019325256,0.1538078784942627
case_B__VS__case_A,29,29,32,29,-3,0.8794490694999695,0.034666143357753754
case_B__VS__case_A,29,39,1,0,-1,,
case_B__VS__case_A,29,86,1,1,0,0.5335668325424194,0.1331244707107544
case_B__VS__case_A,29,95,1,1,0,0.7595218420028687,0.07225525379180908
case_B__VS__case_A,30,28,1,0,-1,,
case_B__VS__case_A,30,30,32,35,3,0.8637884855270386,0.053615618497133255
case_B__VS__case_A,30,39,0,1,1,0.39975857734680176,0.16147589683532715
case_B__VS__case_A,30,44,1,0,-1,,
case_B__VS__case_A,30,50,1,0,-1,,
case_B__VS__case_A,30,51,1,0,-1,,
case_B__VS__case_A,30,93,0,1,1,0.2517559230327606,0.18530774116516113
case_B__VS__case_A,30,97,1,0,-1,,
case_B__VS__case_A,31,18,5,10,5,0.7017720937728882,0.023008916527032852
case_B__VS__case_A,31,25,1,1,0,0.4079970419406891,0.24951422214508057
case_B__VS__case_A,31,31,30,26,-4,0.7628738880157471,0.022149575874209404
case_B__VS__case_A,31,73,1,0,-1,,
case_B__VS__case_A,32,32,35,35,0,0.9458101391792297,0.025341106578707695
case_B__VS__case_A,32,78,1,1,0,0.6461138725280762,0.17563951015472412
case_B__VS__case_A,32,83,3,2,-1,0.494308739900589,0.1393265724182129
case_B__VS__case_A,32,90,0,1,1,0.3542969822883606,0.1764606237411499
case_B__VS__case_A,33,12,6,5,-1,0.6589195132255554,0.028166722506284714
case_B__VS__case_A,33,33,25,27,2,0.8431249260902405,0.024259498342871666
case_B__VS__case_A,33,38,2,1,-1,0.5008374452590942,0.06349360942840576
case_B__VS__case_A,34,19,2,3,1,0.6254281401634216,0.05800249055027962
case_B__VS__case_A,34,34,28,28,0,0.9374756217002869,0.02016666904091835
case_B__VS__case_A,34,47,1,1,0,0.43434828519821167,0.13433241844177246
case_B__VS__case_A,34,77,1,0,-1,,
case_B__VS__case_A,34,98,1,1,0,0.7766059041023254,0.10338252782821655
case_B__VS__case_A,35,16,1,0,-1,,
case_B__VS__case_A,35,28,1,0,-1,,
case_B__VS__case_A,35,35,26,24,-2,0.7637611031532288,0.03165402635931969
case_B__VS__case_A,35,78,4,3,-1,0.6102212071418762,0.05502243712544441
case_B__VS__case_A,35,92,13,18,5,0.6200988292694092,0.04626625403761864
