pair_name,true_class,pred_class,MMRL_count,Bayes_count,delta,Bayes_conf,Bayes_MI
case_B__VS__case_A,92,30,1,0,-1,,
case_B__VS__case_A,92,32,0,1,1,0.9257272481918335,0.026836812496185303
case_B__VS__case_A,92,35,9,6,-3,0.7103740572929382,0.05625326558947563
case_B__VS__case_A,92,37,1,1,0,0.259897381067276,0.24829864501953125
case_B__VS__case_A,92,67,1,2,1,0.6216357350349426,0.07439517974853516
case_B__VS__case_A,92,74,0,1,1,0.24871501326560974,0.2424401044845581
case_B__VS__case_A,92,92,25,26,1,0.7072312831878662,0.03940621763467789
case_B__VS__case_A,92,97,1,0,-1,,
case_B__VS__case_A,93,39,1,1,0,0.44336485862731934,0.08400112390518188
case_B__VS__case_A,93,41,1,1,0,0.8623548746109009,0.03686589002609253
case_B__VS__case_A,93,67,1,1,0,0.30486971139907837,0.24698448181152344
case_B__VS__case_A,93,93,29,29,0,0.8983880281448364,0.03279304504394531
case_B__VS__case_A,94,94,43,43,0,0.9979342222213745,0.0003867842024192214
case_B__VS__case_A,95,56,5,4,-1,0.6438339352607727,0.10854931175708771
case_B__VS__case_A,95,84,1,0,-1,,
case_B__VS__case_A,95,85,0,4,4,0.6026069521903992,0.13533268868923187
case_B__VS__case_A,95,93,0,1,1,0.6094201803207397,0.15777933597564697
case_B__VS__case_A,95,95,22,19,-3,0.8870570659637451,0.03527964651584625
case_B__VS__case_A,96,7,4,6,2,0.7112767696380615,0.04173086956143379
case_B__VS__case_A,96,96,31,29,-2,0.9481086730957031,0.034383393824100494
case_B__VS__case_A,97,2,0,1,1,0.40865984559059143,0.15463221073150635
case_B__VS__case_A,97,30,0,1,1,0.29518017172813416,0.18944180011749268
case_B__VS__case_A,97,47,0,1,1,0.5991193056106567,0.13226473331451416
case_B__VS__case_A,97,55,0,1,1,0.29929471015930176,0.1822601556777954
case_B__VS__case_A,97,80,2,3,1,0.7539466023445129,0.05207924544811249
case_B__VS__case_A,97,83,1,0,-1,,
case_B__VS__case_A,97,97,33,29,-4,0.9416033625602722,0.022558750584721565
case_B__VS__case_A,98,92,3,4,1,0.7501391172409058,0.09536442160606384
case_B__VS__case_A,98,98,32,31,-1,0.9402667284011841,0.01631893590092659
case_B__VS__case_A,99,99,45,45,0,0.967339813709259,0.005183534696698189
case_B__VS__case_A,100,2,1,0,-1,,
case_B__VS__case_A,100,34,1,1,0,0.5495947599411011,0.16410553455352783
case_B__VS__case_A,100,45,4,3,-1,0.7212397456169128,0.08851256221532822
case_B__VS__case_A,100,55,2,4,2,0.6412856578826904,0.10322093218564987
case_B__VS__case_A,100,61,1,1,0,0.6571303009986877,0.10314047336578369
case_B__VS__case_A,100,66,0,1,1,0.6683425307273865,0.0886458158493042
case_B__VS__case_A,100,100,27,26,-1,0.8372143507003784,0.05283445119857788
