pair_name,bayes_mode,variant,alpha_used,n,acc,macro_f1,ECE,NLL,Brier,conf_mean,entropy_mean,margin_mean
case_B__VS__case_A,posterior_mean,MMRL_main+MMRL_rep,0.7,3783,0.8736452460289001,0.869240887538191,0.01684851199388504,0.440714955329895,0.18181370198726654,0.8892266750335693,0.3499068021774292,0.8225115537643433
case_B__VS__case_A,posterior_mean,Bayes_main+Bayes_rep,0.7,3783,0.8546127676963806,0.8508679747701839,0.03842300921678543,0.5172629356384277,0.21286122500896454,0.8927428722381592,0.3210355043411255,0.8237435221672058
case_B__VS__case_A,posterior_mean,MMRL_main+Bayes_rep,0.7,3783,0.8754956126213074,0.8719911989956717,0.018668053671717644,0.44430580735206604,0.18471193313598633,0.8922698497772217,0.337819904088974,0.8268760442733765
case_B__VS__case_A,posterior_mean,Bayes_main+MMRL_rep,0.7,3783,0.8657150268554688,0.8620978771297795,0.02918252721428871,0.47369590401649475,0.19508309662342072,0.892464816570282,0.32334738969802856,0.8234467506408691
case_B__VS__case_A,mc_logit_mean,MMRL_main+MMRL_rep,0.7,3783,0.8736452460289001,0.869240887538191,0.01684851199388504,0.440714955329895,0.18181370198726654,0.8892266750335693,0.3499068021774292,0.8225115537643433
case_B__VS__case_A,mc_logit_mean,Bayes_main+Bayes_rep,0.7,3783,0.8667724132537842,0.8631828164882371,0.02249101921916008,0.4704698622226715,0.19426406919956207,0.888968288898468,0.33658501505851746,0.818909227848053
case_B__VS__case_A,mc_logit_mean,MMRL_main+Bayes_rep,0.7,3783,0.880253791809082,0.876945873051291,0.013605110347270966,0.4205695390701294,0.17487411201000214,0.8906188607215881,0.3482028841972351,0.8253937363624573
case_B__VS__case_A,mc_logit_mean,Bayes_main+MMRL_rep,0.7,3783,0.8696801662445068,0.8661072104557699,0.021450640633702278,0.46121272444725037,0.18921078741550446,0.8909289836883545,0.33090654015541077,0.8217122554779053
