case_name,branch,score,AUROC_error,AUPR_error,error_rate
case_A,main,negative_confidence,0.89187236639416,0.5718177067484023,0.1570182394924663
case_A,main,predictive_entropy,0.8863855445856073,0.5587638286254508,0.1570182394924663
case_A,main,expected_entropy,0.886496933376833,0.55879189941916,0.1570182394924663
case_A,main,MI,0.8622036187103607,0.48422303757283114,0.1570182394924663
case_A,main,variation_ratio,0.7772382548174332,0.48867165617988123,0.1570182394924663
case_A,main,num_unique_preds,0.7732396083760148,0.5010240215792144,0.1570182394924663
case_A,main,vote_entropy,0.7781330605099812,0.5102126587499831,0.1570182394924663
case_A,main,logit_var,0.5679571929179956,0.1812142460490484,0.1570182394924663
case_A,rep,negative_confidence,0.8800370834611924,0.552991700915933,0.1599259846682527
case_A,rep,predictive_entropy,0.8824147418460594,0.5667200943004466,0.1599259846682527
case_A,rep,expected_entropy,0.8852201863014839,0.567537711908374,0.1599259846682527
case_A,rep,MI,0.8682652949773494,0.5318275671680582,0.1599259846682527
case_A,rep,variation_ratio,0.8277504433892099,0.5224834503029566,0.1599259846682527
case_A,rep,num_unique_preds,0.8226417155131612,0.5109053374641214,0.1599259846682527
case_A,rep,vote_entropy,0.8303605885504164,0.5352510045125162,0.1599259846682527
case_A,rep,logit_var,0.6173720152494682,0.2271268916387803,0.1599259846682527
case_A,fusion,negative_confidence,0.9021067204964734,0.5490012487236673,0.13322759714512292
case_A,fusion,predictive_entropy,0.9006018336988145,0.5382591533652292,0.13322759714512292
case_A,fusion,expected_entropy,0.9009485567125092,0.5377054160505699,0.13322759714512292
case_A,fusion,MI,0.8832342177493138,0.4906520664631117,0.13322759714512292
case_A,fusion,variation_ratio,0.7797888317673313,0.47391838582912954,0.13322759714512292
case_A,fusion,num_unique_preds,0.7763122225610789,0.45762196034555486,0.13322759714512292
case_A,fusion,vote_entropy,0.7802650464475716,0.48148132032023644,0.13322759714512292
case_A,fusion,logit_var,0.6044422902840103,0.1779453153281308,0.13322759714512292
