pair_name,feature,case_type,n,cosine_mean,shift_norm_mean
case_B__VS__case_A,image,MMRL_correct_Bayes_wrong,19,0.9726913571357727,0.2319028228521347
case_B__VS__case_A,image,MMRL_wrong_Bayes_correct,15,0.9686185121536255,0.245137557387352
case_B__VS__case_A,image,both_correct,2372,0.9761814475059509,0.2142549306154251
case_B__VS__case_A,image,both_wrong,59,0.9705786108970642,0.23947957158088684
case_B__VS__case_A,text,class_level_or_global,1000,0.9843301177024841,0.17137934267520905
