pair_name,branch,branch_cn,MMRL_best_score,MMRL_best_score_cn,MMRL_best_AUROC_error,MMRL_best_AUPR_error,Bayes_best_score,Bayes_best_score_cn,Bayes_best_AUROC_error,Bayes_best_AUPR_error,Bayes_MI_AUROC_error,Bayes_MI_AUPR_error,Bayes_best_minus_MMRL_best_AUROC,Bayes_MI_minus_MMRL_best_AUROC,MMRL_best_retained_acc_at_0.90_coverage,MMRL_best_retained_score_at_0.90_coverage,Bayes_best_retained_acc_at_0.90_coverage,Bayes_best_retained_score_at_0.90_coverage,Bayes_MI_retained_acc_at_0.90_coverage,conclusion_hint
case_B__VS__case_A,fusion,融合分支,predictive_entropy,预测熵,0.9127985365143468,0.6052318769830991,one_minus_confidence,低置信度,0.9021067204964734,0.5490012487236673,0.8832342177493138,0.4906520664631117,-0.01069181601787339,-0.02956431876503307,0.9283406754772393,one_minus_confidence,0.9171806167400881,one_minus_confidence,0.9101321585903084,BayesMMRL 未超过 MMRL 基线
case_B__VS__case_A,main,主分支,one_minus_confidence,低置信度,0.9064568454326152,0.6066617323006086,one_minus_confidence,低置信度,0.89187236639416,0.5718177067484023,0.8622036187103607,0.48422303757283114,-0.014584479038455167,-0.04425322672225451,0.918942731277533,one_minus_confidence,0.8945668135095448,predictive_entropy,0.886049926578561,BayesMMRL 未超过 MMRL 基线
case_B__VS__case_A,rep,表示增强分支,predictive_entropy,预测熵,0.8896814429755597,0.6124051962864984,predictive_entropy,预测熵,0.8824147418460594,0.5667200943004466,0.8682652949773494,0.5318275671680582,-0.007266701129500341,-0.021416147998210344,0.8795888399412628,predictive_entropy,0.8904552129221732,predictive_entropy,0.8889867841409692,BayesMMRL 未超过 MMRL 基线
