case_name,method,eval_mode,branch,margin_true_vs_best_wrong_mean,margin_true_vs_best_wrong_median,frac_positive_margin,acc_from_margin
case_A,BayesMMRL,standard,main,6.115907669067383,6.466501235961914,0.9586206674575806,0.9586206674575806
case_A,BayesMMRL,standard,rep,9.294869422912598,10.026285171508789,0.9626774787902832,0.9626774787902832
case_A,BayesMMRL,standard,fusion,7.491181373596191,8.029787063598633,0.9679512977600098,0.9679512977600098
case_A,BayesMMRL,posterior_mean,main,5.729087829589844,5.9309234619140625,0.9496957659721375,0.9496957659721375
case_A,BayesMMRL,posterior_mean,rep,9.96285629272461,10.648252487182617,0.9525355100631714,0.9525355100631714
case_A,BayesMMRL,posterior_mean,fusion,7.472319602966309,7.91722297668457,0.9614604711532593,0.9614604711532593
case_A,BayesMMRL,mc_prob_mean_probs,main,5.9158525466918945,6.2479166984558105,0.956592321395874,0.956592321395874
case_A,BayesMMRL,mc_prob_mean_probs,rep,7.807107448577881,8.387664794921875,0.9626774787902832,0.9626774787902832
case_A,BayesMMRL,mc_prob_mean_probs,fusion,7.160949230194092,7.666436195373535,0.9683570265769958,0.9683570265769958
case_A,BayesMMRL,mc_logit_mean,main,6.092014789581299,6.432334899902344,0.9561865925788879,0.9561865925788879
case_A,BayesMMRL,mc_logit_mean,rep,9.183265686035156,9.897197723388672,0.9630831480026245,0.9630831480026245
case_A,BayesMMRL,mc_logit_mean,fusion,7.4418721199035645,7.955511093139648,0.9675456285476685,0.9675456285476685
case_B,MMRL,standard,main,6.574071407318115,6.84672737121582,0.9655172228813171,0.9655172228813171
case_B,MMRL,standard,rep,8.931377410888672,9.450347900390625,0.959432065486908,0.959432065486908
case_B,MMRL,standard,fusion,7.768893241882324,8.267236709594727,0.9699797034263611,0.9699797034263611
