pair_name,case_type,n,image_cosine_mean,image_cosine_std,image_cosine_min,image_cosine_q10,image_cosine_q25,image_cosine_median,image_cosine_q75,image_cosine_q90,image_cosine_max,image_angle_deg_mean,image_angle_deg_std,image_angle_deg_min,image_angle_deg_q10,image_angle_deg_q25,image_angle_deg_median,image_angle_deg_q75,image_angle_deg_q90,image_angle_deg_max,image_shift_norm_mean,image_shift_norm_std,image_shift_norm_min,image_shift_norm_q10,image_shift_norm_q25,image_shift_norm_median,image_shift_norm_q75,image_shift_norm_q90,image_shift_norm_max,mc_image_shift_mean_mean,mc_image_shift_mean_std,mc_image_shift_mean_min,mc_image_shift_mean_q10,mc_image_shift_mean_q25,mc_image_shift_mean_median,mc_image_shift_mean_q75,mc_image_shift_mean_q90,mc_image_shift_mean_max,mc_image_feature_var_mean,mc_image_feature_var_std,mc_image_feature_var_min,mc_image_feature_var_q10,mc_image_feature_var_q25,mc_image_feature_var_median,mc_image_feature_var_q75,mc_image_feature_var_q90,mc_image_feature_var_max
case_B__VS__case_A,MMRL_correct_Bayes_wrong,126,0.945008066911546,0.016097729393182034,0.8923710584640503,0.924162358045578,0.9359662979841232,0.9461826384067535,0.9573163092136383,0.9639455378055573,0.9735293984413147,18.893072563996128,2.7863034731112353,13.212415478917233,15.432222848931557,16.80061018017868,18.88278525238171,20.615171580355,22.45694533801418,26.827278017537015,0.32815624584281256,0.047931435924324306,0.23008938133716583,0.2685299664735794,0.2921770289540291,0.32807739078998566,0.3578646779060364,0.3894432485103607,0.4639590084552765,0.3046394215216712,0.04236419147965911,0.21026746928691864,0.24997080862522125,0.27246688306331635,0.3047148138284683,0.3298264145851135,0.3624654859304428,0.42885303497314453,0.0113266888850679,0.0030936553230025443,0.004494019318372011,0.007923446130007505,0.00936986063607037,0.010731039568781853,0.012766118161380291,0.015683951321989298,0.02126942202448845
case_B__VS__case_A,MMRL_wrong_Bayes_correct,100,0.9456513726711273,0.013353492272607723,0.9090122580528259,0.9288531601428985,0.9386594891548157,0.9475111067295074,0.9537603110074997,0.9628218829631805,0.9703109860420227,18.8389493164752,2.32600175921871,13.996385482956153,15.672416598507072,17.49118353463139,18.64568469700567,20.172351229390635,21.74319308195182,24.63079218360208,0.3272545510530472,0.040022779563593354,0.24367564916610718,0.27268339693546295,0.30409491062164307,0.32399435341358185,0.35025854408741,0.37721748948097233,0.4265858232975006,0.3040671107172966,0.03692070011801682,0.2383616715669632,0.2585404396057129,0.2779828980565071,0.2973420321941376,0.32760582864284515,0.3587640792131424,0.39503735303878784,0.01146091242786497,0.002555490364629714,0.0056385500356554985,0.008464086428284645,0.009871492628008127,0.011501487344503403,0.012649154989048839,0.015123632829636335,0.01812550611793995
case_B__VS__case_A,both_correct,3179,0.9511845178595126,0.015906554821547743,0.8542215824127197,0.9311801195144653,0.9425652623176575,0.9537688493728638,0.9622223377227783,0.9689005494117737,0.9838638305664062,17.757245530184207,2.8487399441306334,10.30679351971354,14.32669396726219,15.799085827544307,17.490108649510784,19.513079839104172,21.38047238490106,31.32615532745604,0.30858544490179124,0.04905174590914736,0.1796453893184662,0.2493971884250641,0.2748734802007675,0.3040764033794403,0.3389241695404053,0.37099825739860537,0.5399603247642517,0.285185464516343,0.04363958911049425,0.17311802506446838,0.23193274438381195,0.25469981133937836,0.281914085149765,0.31265540421009064,0.34009833931922917,0.4869961738586426,0.00946834807055081,0.0028653808024800536,0.002740501658990979,0.005992190353572369,0.007435822393745184,0.009172928519546986,0.011224163696169853,0.01331612002104521,0.023529227823019028
case_B__VS__case_A,both_wrong,378,0.9468666732941986,0.015830622733836723,0.889944314956665,0.925873976945877,0.9379332959651947,0.9490103423595428,0.9584140330553055,0.9658792436122894,0.974538266658783,18.56380850492172,2.7674733625227863,12.957088818616375,15.010308710689579,16.581647806884607,18.375595535165978,20.292665339325083,22.199485213318013,27.13374963914355,0.3224886362909009,0.04762156669530749,0.2256624698638916,0.26123045682907103,0.28839562833309174,0.3193420469760895,0.35232578963041306,0.38503545224666597,0.46916016936302185,0.30030073903540455,0.04159311168660833,0.21763458847999573,0.2487865909934044,0.270178958773613,0.2976023852825165,0.3287046179175377,0.3575106114149094,0.4462277889251709,0.011383286487587073,0.0032030609552068236,0.004896829836070538,0.007706401543691755,0.009149197256192565,0.011163408402353525,0.013147580437362194,0.015186820272356271,0.022518271580338478
case_B__VS__case_A,all,3783,0.9504010939673712,0.015947909995212214,0.8542215824127197,0.9298220753669739,0.9415702521800995,0.9529897570610046,0.9616357088088989,0.9682824373245239,0.9838638305664062,17.90426255089269,2.846713737914447,10.30679351971354,14.469121277576683,15.922070394353018,17.638030595724494,19.683045782970673,21.59290323220683,31.32615532745604,0.31112000421418295,0.049012662901485836,0.1796453893184662,0.25186354517936704,0.27699925005435944,0.30662789940834045,0.3418470323085785,0.3746411561965942,0.5399603247642517,0.28784286260541836,0.043667150574184715,0.17311802506446838,0.23400374948978425,0.2572922110557556,0.2847287952899933,0.31523020565509796,0.3439384937286377,0.4869961738586426,0.009774257163863069,0.002984772592855687,0.002740501658990979,0.006158839631825686,0.00765354442410171,0.009465326555073261,0.01159217394888401,0.013686046563088895,0.023529227823019028
