pair_name,feature,case_type,n,note,mc_feature_dev_mean_mean,mc_feature_dev_mean_std,mc_feature_dev_mean_q10,mc_feature_dev_mean_median,mc_feature_dev_mean_q90,mc_feature_dev_mean_max,mc_feature_dev_std_mean,mc_feature_dev_std_std,mc_feature_dev_std_q10,mc_feature_dev_std_median,mc_feature_dev_std_q90,mc_feature_dev_std_max,mc_feature_cos_to_mc_mean_mean,mc_feature_cos_to_mc_mean_std,mc_feature_cos_to_mc_mean_q10,mc_feature_cos_to_mc_mean_median,mc_feature_cos_to_mc_mean_q90,mc_feature_cos_to_mc_mean_max,mc_mean_dist_to_posterior_mean_mean,mc_mean_dist_to_posterior_mean_std,mc_mean_dist_to_posterior_mean_q10,mc_mean_dist_to_posterior_mean_median,mc_mean_dist_to_posterior_mean_q90,mc_mean_dist_to_posterior_mean_max,mc_mean_cos_to_posterior_mean_mean,mc_mean_cos_to_posterior_mean_std,mc_mean_cos_to_posterior_mean_q10,mc_mean_cos_to_posterior_mean_median,mc_mean_cos_to_posterior_mean_q90,mc_mean_cos_to_posterior_mean_max,mc_mean_dist_to_MMRL_mean,mc_mean_dist_to_MMRL_std,mc_mean_dist_to_MMRL_q10,mc_mean_dist_to_MMRL_median,mc_mean_dist_to_MMRL_q90,mc_mean_dist_to_MMRL_max,mc_mean_cos_to_MMRL_mean,mc_mean_cos_to_MMRL_std,mc_mean_cos_to_MMRL_q10,mc_mean_cos_to_MMRL_median,mc_mean_cos_to_MMRL_q90,mc_mean_cos_to_MMRL_max
case_B__VS__case_A,features_img,MMRL_correct_Bayes_wrong,126,,0.10422564120519728,0.013839705330337548,0.08840356022119522,0.10213245078921318,0.1230609118938446,0.14330434799194336,0.015842897033998892,0.004601054790241018,0.010953379329293966,0.015023784711956978,0.020617221482098103,0.03261391818523407,0.9943193400663043,0.0015567540599387532,0.9921270906925201,0.9946200251579285,0.9960304796695709,0.9977504014968872,0.07557047551704778,0.014488770811378733,0.06019994802772999,0.07435307279229164,0.09306862577795982,0.1287430375814438,0.9970388578044044,0.001170633543872952,0.9956632256507874,0.9972355663776398,0.9981896877288818,0.999238133430481,0.28629421537357663,0.04160679240434495,0.2348330095410347,0.2864845097064972,0.34278030693531036,0.40643736720085144,0.9579177408937424,0.012332585171716981,0.9408047795295715,0.958736389875412,0.9723211824893951,0.9805735349655151
case_B__VS__case_A,features_img,MMRL_wrong_Bayes_correct,100,,0.10511695198714734,0.011568423435101352,0.09083113372325897,0.1059488020837307,0.12120692804455757,0.13073381781578064,0.015908895432949065,0.0049413952410618635,0.011295470781624318,0.01487679686397314,0.020306429825723175,0.040122345089912415,0.9942522341012955,0.0012854055066650986,0.992409485578537,0.9942325949668884,0.9957589626312255,0.9971767663955688,0.07462369609624148,0.011482145072020007,0.06251327060163021,0.07264598086476326,0.08936102241277695,0.10879426449537277,0.9971499526500702,0.0009086949665029074,0.9959999263286591,0.9973607063293457,0.9980478823184967,0.9988721013069153,0.2853663267195225,0.03682298537612698,0.24082612693309785,0.2793138176202774,0.33933215737342837,0.3736959993839264,0.9583753073215484,0.010890376478792292,0.9420264065265656,0.9607946276664734,0.9708833694458008,0.9760902523994446
case_B__VS__case_A,features_img,both_correct,3179,,0.09507976651201086,0.014374676858471006,0.07664375454187393,0.094692662358284,0.11385434567928315,0.1501004993915558,0.014160658442627694,0.004585900569879078,0.00965368952602148,0.013237381353974342,0.019774882122874267,0.046231724321842194,0.9952535545837208,0.0014401319969345734,0.9933196306228638,0.995402991771698,0.9969993829727173,0.9986289143562317,0.06907112771758271,0.01461032022616227,0.05226083993911743,0.06733142584562302,0.08789439201354982,0.15313763916492462,0.9975071656287711,0.0011253530460043149,0.9961338758468627,0.997734546661377,0.9986382365226746,0.9994573593139648,0.26887548852450593,0.04267656507055059,0.21686990559101105,0.2653861939907074,0.3225309193134308,0.47302040457725525,0.962766361915304,0.012146103386272259,0.9476687669754028,0.9646328091621399,0.9764054298400879,0.9867510199546814
case_B__VS__case_A,features_img,both_wrong,378,,0.1042832288516577,0.014256920279764926,0.08705889359116555,0.10407273098826408,0.12125011458992958,0.1484760344028473,0.016394914852248296,0.006020115130400007,0.010740138217806816,0.01503975410014391,0.024066097661852838,0.05516224354505539,0.9942907925951417,0.001611731762180676,0.9923776268959046,0.9944026470184326,0.9961393713951111,0.9975485801696777,0.07362627493286575,0.014644409460620181,0.0561030101031065,0.07298119366168976,0.08989470228552819,0.14556317031383514,0.997182384842918,0.0011798221501905617,0.9959548592567444,0.9973349571228027,0.9984275698661804,0.9992185235023499,0.2816148811074161,0.04070773494479596,0.23250726461410523,0.27922114729881287,0.333503332734108,0.43317002058029175,0.9592908586143817,0.012060211831112083,0.9439978003501892,0.960846334695816,0.9728437900543213,0.9790629148483276
case_B__VS__case_A,features_text,class_or_text_level,1616,该特征不是逐测试样本维度，按类别/文本原型维度统计。,0.11956448177576508,0.01540815228491631,0.10248241573572159,0.11772406473755836,0.13889991492033005,0.19568853080272675,0.013145778975956658,0.003050383910380986,0.009572373237460852,0.012694142758846283,0.016984677873551846,0.027154797688126564,0.9926130517136933,0.002050027063143784,0.9902010262012482,0.9929676651954651,0.9946506917476654,0.9961661100387573,0.0549402068309154,0.01201402705372143,0.042831920087337494,0.05277636460959911,0.06857896968722343,0.11741135269403458,0.9984350511712012,0.0007845999402982827,0.9976756274700165,0.998623251914978,0.9990939199924469,0.9994049668312073,0.3002119009004961,0.048772081035073134,0.24066995084285736,0.29427342116832733,0.3674749284982681,0.4499273896217346,0.9534093296468849,0.015816610074735078,0.9319070875644684,0.9563847780227661,0.9709002077579498,0.9772014021873474
