pair_name,true_class,pred_class,MMRL_count,Bayes_count,delta,Bayes_conf,Bayes_MI
case_B__VS__case_A,54,78,5,7,2,0.7505245804786682,0.03272068873047829
case_B__VS__case_A,55,38,1,1,0,0.5139881372451782,0.12498968839645386
case_B__VS__case_A,55,55,17,17,0,0.9583497643470764,0.011402594856917858
case_B__VS__case_A,55,63,1,1,0,0.8229635953903198,0.14365726709365845
case_B__VS__case_A,56,56,25,25,0,0.9988245964050293,0.00039945784374140203
case_B__VS__case_A,57,53,0,1,1,0.4553001821041107,0.1404324769973755
case_B__VS__case_A,57,57,23,22,-1,0.9634655117988586,0.01780644990503788
case_B__VS__case_A,58,26,3,4,1,0.7300629615783691,0.05506809055805206
case_B__VS__case_A,58,58,10,9,-1,0.8546302318572998,0.03936481103301048
case_B__VS__case_A,59,59,13,13,0,0.8782749772071838,0.024923739954829216
case_B__VS__case_A,59,94,7,7,0,0.7626310586929321,0.04815111681818962
case_B__VS__case_A,60,34,0,1,1,0.5438740849494934,0.16867941617965698
case_B__VS__case_A,60,60,11,11,0,0.8503780961036682,0.0712074562907219
case_B__VS__case_A,60,98,1,0,-1,,
case_B__VS__case_A,61,26,1,1,0,0.7469705939292908,0.11257767677307129
case_B__VS__case_A,61,61,11,11,0,0.9339134097099304,0.018952639773488045
case_B__VS__case_A,62,62,26,26,0,0.9999439716339111,2.25432995648589e-05
case_B__VS__case_A,63,63,10,10,0,0.9999169111251831,3.546356310835108e-05
case_B__VS__case_A,64,64,22,22,0,0.9854704141616821,0.008437245152890682
case_B__VS__case_A,64,98,1,1,0,0.4566391110420227,0.28253281116485596
case_B__VS__case_A,65,65,16,16,0,0.9934124946594238,0.00322485133074224
case_B__VS__case_A,66,66,10,10,0,0.9876386523246765,0.004127727821469307
case_B__VS__case_A,67,67,11,11,0,0.9999487400054932,3.748069502762519e-05
case_B__VS__case_A,68,68,14,14,0,0.9988347887992859,0.00025346199981868267
case_B__VS__case_A,69,69,11,11,0,0.999809205532074,3.256056515965611e-05
case_B__VS__case_A,70,70,14,14,0,0.9968456029891968,0.0009422377333976328
case_B__VS__case_A,71,71,16,16,0,0.9994210004806519,0.00018545283819548786
case_B__VS__case_A,72,32,0,1,1,0.45533061027526855,0.11400139331817627
case_B__VS__case_A,72,72,10,9,-1,0.867563009262085,0.030554290860891342
case_B__VS__case_A,73,73,18,18,0,0.9962722063064575,0.0010757576674222946
case_B__VS__case_A,74,74,25,25,0,0.9990098476409912,0.0003044754557777196
case_B__VS__case_A,75,35,1,1,0,0.9459189176559448,0.020488545298576355
case_B__VS__case_A,75,75,16,16,0,0.9666705131530762,0.01141931302845478
case_B__VS__case_A,76,76,15,15,0,0.9998253583908081,7.212229684228078e-05
case_B__VS__case_A,77,77,12,12,0,0.9970707297325134,0.0005696873413398862
case_B__VS__case_A,78,54,3,2,-1,0.5568044185638428,0.04108738899230957
case_B__VS__case_A,78,78,15,16,1,0.7364332675933838,0.02721083164215088
case_B__VS__case_A,79,5,0,1,1,0.5887724757194519,0.24156057834625244
case_B__VS__case_A,79,79,10,10,0,0.9833886027336121,0.009859631769359112
case_B__VS__case_A,79,98,1,0,-1,,
case_B__VS__case_A,80,6,2,1,-1,0.8799186944961548,0.03721734881401062
case_B__VS__case_A,80,13,1,1,0,0.8244029879570007,0.0910683274269104
case_B__VS__case_A,80,25,0,2,2,0.4221453070640564,0.09147009253501892
case_B__VS__case_A,80,80,22,21,-1,0.9125990271568298,0.021863941103219986
case_B__VS__case_A,81,65,0,1,1,0.564045786857605,0.1942605972290039
case_B__VS__case_A,81,81,18,17,-1,0.9861727356910706,0.010430444963276386
case_B__VS__case_A,82,82,10,10,0,0.9989207983016968,0.00038547604344785213
case_B__VS__case_A,83,83,19,19,0,0.9997244477272034,7.027879473753273e-05
case_B__VS__case_A,84,84,14,14,0,0.9666246175765991,0.011885449290275574
case_B__VS__case_A,85,85,26,26,0,0.9996864795684814,8.969854388851672e-05
case_B__VS__case_A,86,27,1,1,0,0.8840678930282593,0.026504874229431152
case_B__VS__case_A,86,86,16,16,0,0.9799697399139404,0.0042587509378790855
case_B__VS__case_A,87,87,19,19,0,0.9999489784240723,1.6353975297533907e-05
case_B__VS__case_A,88,88,10,10,0,0.9995665550231934,0.0001511031441623345
case_B__VS__case_A,89,89,26,26,0,0.9998303055763245,5.289878026815131e-05
case_B__VS__case_A,90,90,15,15,0,0.9961782097816467,0.0019179130904376507
case_B__VS__case_A,91,91,26,26,0,0.9784243106842041,0.01080404408276081
case_B__VS__case_A,92,92,22,22,0,0.9970011115074158,0.0011661662720143795
case_B__VS__case_A,93,93,71,71,0,0.9952974915504456,0.0029496783390641212
case_B__VS__case_A,94,59,4,5,1,0.5883439779281616,0.061389364302158356
case_B__VS__case_A,94,94,8,7,-1,0.7236467599868774,0.05213632062077522
case_B__VS__case_A,95,95,17,17,0,0.9948169589042664,0.0018054238753393292
case_B__VS__case_A,96,23,2,2,0,0.8477520942687988,0.040215492248535156
case_B__VS__case_A,96,96,8,8,0,0.9746824502944946,0.011127207428216934
case_B__VS__case_A,97,97,17,17,0,0.9315599799156189,0.01000515278428793
case_B__VS__case_A,98,98,11,11,0,0.9204565286636353,0.02273581735789776
case_B__VS__case_A,99,99,18,18,0,0.9998170137405396,8.838092617224902e-05
