key,shape,dtype,mean,std
representation_learner.rep_posterior.posterior_mean,"(5, 512)",torch.float32,0.0020859609358012676,0.10886424779891968
representation_learner.rep_posterior.posterior_rho,"(5, 512)",torch.float32,-0.4779674708843231,0.01105781551450491
representation_learner.rep_posterior.prior_mean,"(5, 512)",torch.float32,0.0,0.0
representation_learner.rep_posterior.prior_std_base,"(5, 512)",torch.float32,0.5,0.0
