pair_name,class_or_text_index,text_cosine,text_angle_deg,text_shift_norm
case_B__VS__case_A,0,0.9583799242973328,16.588494419757225,0.28851401805877686
case_B__VS__case_A,1,0.9631113409996033,15.61091039521291,0.27162036299705505
case_B__VS__case_A,2,0.967387855052948,14.67285770746496,0.2553909420967102
case_B__VS__case_A,3,0.9484398365020752,18.479009623213503,0.3211233913898468
case_B__VS__case_A,4,0.9279572367668152,21.881407952276838,0.37958618998527527
case_B__VS__case_A,5,0.9555378556251526,17.14964960032182,0.29820188879966736
case_B__VS__case_A,6,0.9435738325119019,19.339333303537252,0.33593523502349854
case_B__VS__case_A,7,0.964120626449585,15.394557174010174,0.2678784728050232
case_B__VS__case_A,8,0.9483372569084167,18.497543779950572,0.32144343852996826
case_B__VS__case_A,9,0.9460717439651489,18.902408102291826,0.3284153938293457
case_B__VS__case_A,10,0.9651045203208923,15.180751952696745,0.26417961716651917
case_B__VS__case_A,11,0.9498087167739868,18.229938892622936,0.3168322443962097
case_B__VS__case_A,12,0.9492140412330627,18.33854266694505,0.3187035918235779
case_B__VS__case_A,13,0.9508517384529114,18.037929844804477,0.3135227859020233
case_B__VS__case_A,14,0.9279577136039734,21.881334644586637,0.37958523631095886
case_B__VS__case_A,15,0.958874523639679,16.4889435965372,0.2867947518825531
case_B__VS__case_A,16,0.9441353678703308,19.241943812744505,0.334259033203125
case_B__VS__case_A,17,0.8931892514228821,26.72321618764198,0.4621925354003906
case_B__VS__case_A,18,0.9595438838005066,16.353279602007998,0.2844507098197937
case_B__VS__case_A,19,0.9614425301551819,15.962367516962939,0.27769625186920166
case_B__VS__case_A,20,0.9353153109550476,20.72085454042323,0.3596799075603485
case_B__VS__case_A,21,0.963204562664032,15.591049900318447,0.27127641439437866
case_B__VS__case_A,22,0.9213125109672546,22.881277376777472,0.39670512080192566
case_B__VS__case_A,23,0.9421603083610535,19.58242449774223,0.34011682868003845
case_B__VS__case_A,24,0.9538706541061401,17.47068994343373,0.30374136567115784
case_B__VS__case_A,25,0.9750097393989563,12.836056584193296,0.22356344759464264
case_B__VS__case_A,26,0.9724109172821045,13.489934226252263,0.2349003553390503
case_B__VS__case_A,27,0.9485378861427307,18.46127715670616,0.32081833481788635
case_B__VS__case_A,28,0.9361386895179749,20.58710631460359,0.35738298296928406
case_B__VS__case_A,29,0.9013906717300415,25.6585287827349,0.4440929889678955
case_B__VS__case_A,30,0.9332956671714783,21.04548023210661,0.36525148153305054
case_B__VS__case_A,31,0.9504551291465759,18.111173138917323,0.3147849142551422
case_B__VS__case_A,32,0.9600028991699219,16.25961144706488,0.2828325033187866
case_B__VS__case_A,33,0.9563992023468018,16.981481651453898,0.2952989637851715
case_B__VS__case_A,34,0.9475382566452026,18.641299032039363,0.32391974329948425
case_B__VS__case_A,35,0.9528040289878845,17.67311676534923,0.3072330057621002
case_B__VS__case_A,36,0.947425901889801,18.661428099501368,0.3242660164833069
case_B__VS__case_A,37,0.9448513984680176,19.117067284186092,0.3321101665496826
case_B__VS__case_A,38,0.9400907754898071,19.93319344217623,0.3461480736732483
case_B__VS__case_A,39,0.9484570622444153,18.475895503855533,0.32107001543045044
case_B__VS__case_A,40,0.9562925100326538,17.00239965790306,0.295661062002182
case_B__VS__case_A,41,0.9512904286384583,17.956578960362325,0.312120258808136
case_B__VS__case_A,42,0.9490113258361816,18.375422277972753,0.319339394569397
case_B__VS__case_A,43,0.9459948539733887,18.9160023257637,0.3286493420600891
case_B__VS__case_A,44,0.9617904424667358,15.889721114037343,0.2764405310153961
case_B__VS__case_A,45,0.9452106952667236,19.05410875879232,0.3310266435146332
