bayes_target,block_class,KL,posterior_mean_shape,posterior_mean_l2,posterior_mean_abs_mean,prior_mean_shape,prior_mean_l2,prior_mean_abs_mean,mean_shift_l2,mean_shift_abs_mean,mean_shift_abs_max,posterior_sigma_shape,sigma_mean,sigma_std,sigma_min,sigma_max,sigma_cv,SNR_mean,SNR_max,case_name,method,method_from_path,dataset,shots,seed,protocol,phase,tag,output_family,case_root,cfg.TRAINER.NAME,cfg.METHOD.NAME,cfg.MODEL.BACKBONE.NAME,BAYES_TARGET,N_MC_TRAIN,N_MC_TEST,EVAL_MODE,EVAL_USE_POSTERIOR_MEAN,EVAL_AGGREGATION,REP_SIGMA_MODE,REP_PRIOR_MODE,REP_PRIOR_STD,REP_KL_WEIGHT,PROJ_REP_SIGMA_MODE,PROJ_REP_PRIOR_MODE,PROJ_REP_PRIOR_STD,PROJ_REP_KL_WEIGHT,ALPHA,REG_WEIGHT,KL_WARMUP_EPOCHS,REP_DIM,N_REP_TOKENS,REP_LAYERS,error
rep_tokens,BayesianTensorParameter,24.585506439208984,"(5, 512)",6.823059558868408,0.11558379977941513,"(5, 512)",0.0,0.0,6.823059558868408,0.11558379977941513,0.3453253507614136,"(5, 512)",0.97868412733078,0.007232507690787315,0.954621434211731,1.0096709728240967,0.007390032522380352,0.11821287125349045,0.3523312509059906,MMRL_caltech101_16shot_seed1,BayesMMRL,BayesMMRL,caltech101,16,1,FS,fewshot_train,rep_zero_sig-diagonal_pstd-1.0_kl-5e-2,output_sweeps,/root/autodl-tmp/MMRL/output_sweeps/bayes_mmrl_rep_tokens/coarse3/confirm_stage/BayesMMRL/FS/fewshot_train/caltech101/shots_16/ViT-B-16/rep_zero_sig-diagonal_pstd-1.0_kl-5e-2/seed1,RefactorRunner,BayesMMRL,ViT-B/16,rep_tokens,3,10,mc_predictive,False,logit_mean,diagonal,zero,1.0,0.05,row,clip_proj,0.01,1e-06,0.7,0.5,6,512,5,"[6, 7, 8, 9, 10, 11, 12]",
,,,,,,,,,,,,,,,,,,,,BayesMMRL_caltech101_16shot_seed1,MMRL,MMRL,caltech101,16,1,FS,fewshot_train,default,output_refactor,/root/autodl-tmp/MMRL/output_refactor/MMRL/FS/fewshot_train/caltech101/shots_16/ViT-B-16/default/seed1,RefactorRunner,MMRL,ViT-B/16,rep_tokens,3,5,mc_predictive,False,prob_mean,global,zero,0.05,0.0005,row,clip_proj,0.01,1e-06,0.7,1.0,5,512,5,"[6, 7, 8, 9, 10, 11, 12]",No Bayesian posterior block found
