dataset,shots,seed,split,difficulty_group,count,MMRL_acc,Bayes_PM_acc,Bayes_MC_prob_acc,Bayes_PM_conf,Bayes_MI,Bayes_variation_ratio,Bayes_sample_agreement
caltech101,16,1,test,ambiguous_by_Bayes_MC,1749,0.9576901086335049,0.9514008004574043,0.9536878216123499,0.9639091124154282,0.0046284305600998174,0.010120068092629731,0.9898799318903306
caltech101,16,1,test,easy_by_MMRL,716,1.0,1.0,1.0,0.9999076741534239,9.487298711021607e-06,0.0,1.0
