case_name,method,dataset,shots,seed,split,class_id,count,PM_logits_acc,MC_logits_MI,PM_logits_conf,PM_rep_acc,MC_rep_MI,PM_rep_conf,PM_fusion_acc,MC_fusion_MI,PM_fusion_conf
BayesMMRL_caltech101_16shot_seed1,BayesMMRL,caltech101,16,1,test,0,130,0.9923076923076923,0.002742421841965272,0.9695992270341286,1.0,0.001570197495031887,0.9881983021130929,1.0,0.0005437542397815448,0.9927465768960806
BayesMMRL_caltech101_16shot_seed1,BayesMMRL,caltech101,16,1,test,1,60,0.95,0.0074576932160804665,0.9290860871473948,0.9,0.01156743969974438,0.9643401106198629,0.95,0.006340531279177716,0.9552516907453537
BayesMMRL_caltech101_16shot_seed1,BayesMMRL,caltech101,16,1,test,2,239,1.0,0.0002888538153787537,0.9919528322738583,1.0,0.00017496459071610169,0.9978143869583577,1.0,6.116690332358353e-05,0.9980459235702099
BayesMMRL_caltech101_16shot_seed1,BayesMMRL,caltech101,16,1,test,3,16,1.0,2.982652904393035e-05,0.9997503496706486,1.0,2.6757638380559e-06,0.999989278614521,1.0,4.386003638501279e-06,0.9999682046473026
BayesMMRL_caltech101_16shot_seed1,BayesMMRL,caltech101,16,1,test,4,240,1.0,0.001096562734649827,0.9813763623436292,0.975,0.002362550915737908,0.9690615816662709,1.0,0.0004966869601048529,0.9900206630428632
BayesMMRL_caltech101_16shot_seed1,BayesMMRL,caltech101,16,1,test,5,13,0.8461538461538461,0.017445755885161746,0.8728972902664771,0.8461538461538461,0.017091944090854946,0.939443840430333,0.8461538461538461,0.010356770720626138,0.9368605476159316
BayesMMRL_caltech101_16shot_seed1,BayesMMRL,caltech101,16,1,test,6,13,1.0,0.009321684340158334,0.9487768824283893,1.0,0.0136668616148829,0.9570833444595337,1.0,0.004549882929915419,0.9794319180341867
BayesMMRL_caltech101_16shot_seed1,BayesMMRL,caltech101,16,1,test,7,14,1.0,0.000100693192507606,0.9992681528840747,1.0,0.00012592643179232255,0.9989820037569318,1.0,4.285387383008908e-05,0.9995586105755397
BayesMMRL_caltech101_16shot_seed1,BayesMMRL,caltech101,16,1,test,8,16,1.0,0.002067590985006973,0.983166728168726,1.0,0.0023681420761931804,0.9817361012101173,1.0,0.0006626834923508795,0.9918416254222393
BayesMMRL_caltech101_16shot_seed1,BayesMMRL,caltech101,16,1,test,9,14,0.9285714285714286,0.011395494836116475,0.9273193265710559,0.7857142857142857,0.0323496965925837,0.8807465348924909,0.9285714285714286,0.012899921011661977,0.9130380025931767
BayesMMRL_caltech101_16shot_seed1,BayesMMRL,caltech101,16,1,test,10,10,0.9,0.009077909850748255,0.9258608043193817,0.9,0.006714799976907671,0.9488633096218109,0.9,0.008212070062290877,0.9476191163063049
BayesMMRL_caltech101_16shot_seed1,BayesMMRL,caltech101,16,1,test,11,38,1.0,6.398738993371616e-05,0.9992705254178298,1.0,1.416081285673212e-05,0.9999493078181618,1.0,7.831425041092044e-06,0.9999061148417624
BayesMMRL_caltech101_16shot_seed1,BayesMMRL,caltech101,16,1,test,12,29,1.0,0.001095539767792898,0.9827523334272976,1.0,4.6293624046515545e-05,0.9996579392202969,1.0,9.628199241605813e-05,0.9984455560815746
BayesMMRL_caltech101_16shot_seed1,BayesMMRL,caltech101,16,1,test,13,12,0.9166666666666666,0.00444951329457884,0.9789570967356364,0.9166666666666666,0.0006684186998124156,0.9977452258268992,0.9166666666666666,0.0021712533731867247,0.9910199493169785
BayesMMRL_caltech101_16shot_seed1,BayesMMRL,caltech101,16,1,test,14,26,1.0,0.00014752150477411656,0.99816360611182,1.0,0.0007384153342662522,0.9957979252705207,1.0,6.486769192493879e-05,0.9992707463411185
BayesMMRL_caltech101_16shot_seed1,BayesMMRL,caltech101,16,1,test,15,27,1.0,0.0042952378970329405,0.9529194633165995,0.9629629629629629,0.00645396747481923,0.9614136086569892,1.0,0.003060342041189196,0.9705058490788495
BayesMMRL_caltech101_16shot_seed1,BayesMMRL,caltech101,16,1,test,16,15,1.0,0.004176513353983561,0.9528034090995788,1.0,0.0020596037715828667,0.9931311011314392,1.0,0.0030183471739292146,0.9773271322250366
BayesMMRL_caltech101_16shot_seed1,BayesMMRL,caltech101,16,1,test,17,12,0.9166666666666666,0.002163952332921326,0.9641765604416529,1.0,0.0003320379898165508,0.9987869262695312,1.0,0.0021612467583812154,0.9736671696106592
