dataset,shots,seed,split,paired_case_type,count,MMRL_conf,Bayes_PM_conf,MMRL_entropy,Bayes_PM_entropy,Bayes_MI,Bayes_variation_ratio,Bayes_sample_agreement,fraction
caltech101,16,1,test,MMRL_correct_Bayes_wrong,21,0.622124847911653,0.5921351583231063,0.8834847460190455,0.8664552172025045,0.03808651651654925,0.23095237357275827,0.7690476264272418,0.008519269776876268
caltech101,16,1,test,MMRL_wrong_Bayes_correct,10,0.650585874915123,0.6170524507761002,0.8935229659080506,0.8248722672462463,0.04537878036499023,0.22999999523162842,0.7700000047683716,0.004056795131845842
caltech101,16,1,test,both_correct,2370,0.9859150379770416,0.9841889182097802,0.05089323808547505,0.056908974079690394,0.002165653385814538,0.002721518781114731,0.9972784812188853,0.9614604462474645
caltech101,16,1,test,both_wrong,64,0.8065355448052287,0.7918411456048489,0.5051875310018659,0.534743284311844,0.026808043447090313,0.06406249664723873,0.9359375028871,0.025963488843813387
